id,on_plate,best_cell_iou,union_cell_iou,cells_spanned,blank_plate,best_cell,in_fire_zone,area_ground_m2,cell_class
23,True,0.22153689193163856,0.47596943935692004,4.0,False,1323.0,False,301.428520570503,loose_placement
25,True,0.12130022787145467,0.0,0.0,False,4955.0,False,99.37633297994181,loose_placement
26,True,0.3370036888490102,0.4502701784004727,2.0,False,2366.0,True,159.2662813707064,loose_placement
27,True,0.09366184691610004,0.0,0.0,False,2759.0,False,62.87421326071114,loose_placement
28,True,0.17246555588066043,0.287198318923435,3.0,False,3402.0,False,469.58740961122436,loose_placement
30,True,0.09041610961769904,0.0,0.0,False,6029.0,False,68.20490358872622,loose_placement
31,True,0.3412281961436504,0.4265228798132089,2.0,False,4967.0,False,180.8824105787055,loose_placement
34,True,0.4561000443119475,0.6001159844079962,3.0,False,1437.0,True,212.4227716194746,traced_merged_cells
35,True,0.0,0.0,0.0,False,,False,497.0842246587721,loose_placement
37,True,0.09722240603636297,0.16535095792793167,2.0,False,3707.0,False,592.5261731536006,loose_placement
38,True,0.12551597271714887,0.0,0.0,False,6091.0,False,62.08370231482707,loose_placement
39,True,0.0,0.0,0.0,False,,False,124.89177755005477,loose_placement
40,True,0.4355911593003866,0.6411911334340139,3.0,False,3974.0,False,219.3451944440512,traced_merged_cells
44,True,0.2279461235437042,0.2279461235437042,1.0,False,3052.0,False,63.728964751841914,loose_placement
45,True,0.4860575787166523,0.4839882313550447,2.0,False,4722.0,False,177.81501127331282,loose_placement
46,True,0.0,0.0,0.0,True,,False,115.03278236837605,blank_plate
47,True,0.10134718297409726,0.10134718297409726,1.0,False,3968.0,False,126.09313156957062,loose_placement
48,False,,,,,,,,off_plate
53,True,0.3577505436388814,0.3577505436388814,1.0,False,5832.0,False,79.69941706636246,loose_placement
55,True,0.011430225486047607,0.0,0.0,False,2680.0,False,113.26467427060766,loose_placement
79,True,0.1656210972612763,0.1656210972612763,1.0,False,1264.0,False,229.51296716696217,loose_placement
81,True,0.41316203966080645,0.41316203966080645,1.0,False,4955.0,False,105.93897826651437,loose_placement
