id,on_plate,near3px,near6px,gain,median_offset_px,median_offset_m,p90_offset_px,osm_iou,osm_idx,area_m2_ground,qa_class
23,True,0.5315457413249212,0.580441640378549,-0.05638801261829651,2.2360680103302,0.49035728135730183,11.661903381347656,0.00929437539498601,3214.0,301.428520570503,weak_ink_support
25,True,0.36363636363636365,0.4797979797979798,-0.0612373737373737,6.7082037925720215,1.471071791788037,28.284271240234375,0.0200097016546713,4.0,99.37633297994181,weak_ink_support
26,True,0.505091649694501,0.7026476578411406,-0.14307535641547853,3.0,0.657883318966972,9.05538558959961,0.04796686534940013,2025.0,159.2662813707064,weak_ink_support
27,True,0.2761904761904762,0.4031746031746032,-0.02857142857142858,12.083045959472656,2.6497447930161107,37.531252288818365,0.010577786184540179,3141.0,62.87421326071114,weak_ink_support
28,True,0.37531172069825436,0.43516209476309226,-0.052369077306733236,8.485280990600586,1.8607749401545566,21.260292053222656,0.034855873311014536,2011.0,469.58740961122436,weak_ink_support
30,True,0.29608938547486036,0.4106145251396648,-0.04120111731843573,8.485280990600586,1.8607749401545566,24.0,0.030383626579127486,2212.0,68.20490358872622,weak_ink_support
31,True,0.24169741697416974,0.45018450184501846,-0.14206642066420666,7.8102498054504395,1.7127443546569612,14.142135620117188,0.15884532888752717,2194.0,180.8824105787055,weak_ink_support
34,True,0.7941176470588235,0.9007352941176471,0.15395220588235292,0.0,0.0,6.0,0.0,,212.4227716194746,aligned
35,True,0.30814639905548996,0.43919716646989376,-0.026269185360094482,7.8102498054504395,1.7127443546569612,21.217889404296873,0.0,,497.0842246587721,weak_ink_support
37,True,0.5718918918918919,0.6810810810810811,0.11810810810810818,2.8284270763397217,0.6202583308128085,15.55634880065918,0.2861497556230489,3437.0,592.5261731536006,aligned
38,True,0.2413793103448276,0.43103448275862066,-0.0879310344827586,7.245606422424316,1.5889212003709725,19.209373474121094,0.002138588853140023,2211.0,62.08370231482707,weak_ink_support
