id,on_plate,near3px,near6px,gain,median_offset_px,median_offset_m,p90_offset_px,osm_iou,osm_idx,area_m2_ground,qa_class
1,True,0.75,0.9410569105691057,0.029471544715447218,0.0,0.0,5.0,0.028360259663222816,25.0,178.5352222570099,weak_ink_support
2,True,0.1789755807027993,0.22156045265038712,-0.008040500297796294,21.587032318115234,4.733916156029647,60.842415618896496,0.5871819580386144,3472.0,8326.463364316232,modern_proxy_suspect
3,True,0.7060185185185185,0.8016975308641975,0.14756944444444442,0.0,0.0,14.142135620117188,0.0,,602.4957076677058,aligned
4,True,0.49323131253678637,0.5773984696880518,-0.0459093584461448,3.1622776985168457,0.6934699159318334,16.50452690124512,0.2068059296869597,3151.0,822.0172224511293,weak_ink_support
5,True,0.3790504898266767,0.5259984928409948,-0.039186134137151496,5.656854152679443,1.240516661625617,14.764822959899902,0.09007163676209147,16.0,618.141777295722,weak_ink_support
6,True,0.5416078984485191,0.9040902679830748,0.02186177715091686,2.2360680103302,0.49035728135730183,6.0,0.0,,343.98153030263063,weak_ink_support
7,True,0.6035889070146819,0.833605220228385,-0.03711256117455142,2.0,0.4385888793113147,7.071067810058594,0.08908362142148261,3150.0,241.53691545500004,weak_ink_support
8,True,0.4506024096385542,0.5975903614457831,-0.00030120481927709,3.605551242828369,0.7906773394458062,13.03840446472168,0.0,,518.5119094235707,weak_ink_support
9,True,0.48834628190899,0.6126526082130965,-0.09017758046614877,3.605551242828369,0.7906773394458062,10.0,0.0,,476.0965716546632,weak_ink_support
10,True,0.5936034115138593,0.7304904051172708,0.021321961620469176,1.4142135381698608,0.31012916540640423,10.0,0.9922635157807222,2018.0,1972.1692550011032,modern_proxy_suspect
11,True,0.41162514827995256,0.5397390272835113,-0.04507710557532618,5.0,1.0964721982782868,13.030723571777346,0.0,,465.0384116013666,weak_ink_support
12,True,0.3745051464766429,0.5075217735550277,0.008709422011084711,5.830951690673828,1.278695283665525,50.99803924560547,0.9709417280204903,1922.0,970.4172276785375,modern_proxy_suspect
13,True,0.4446308724832215,0.4848993288590604,-0.014261744966442946,6.889636039733887,1.510858874764865,22.135944366455078,0.3649900004473716,2040.0,265.8977207043136,weak_ink_support
14,True,0.851528384279476,0.9519650655021834,0.1626637554585152,1.0,0.21929443965565734,3.605551242828369,0.030618196595221487,3068.0,339.1019005373998,aligned
15,True,0.581772784019975,0.6891385767790262,-0.0898876404494382,0.0,0.0,11.661903381347656,0.21332615463318727,2268.0,451.54640321092984,weak_ink_support
16,True,0.689041095890411,0.8575342465753425,0.13184931506849307,0.0,0.0,9.899495124816895,0.10883370684806526,2059.0,385.11821992383415,aligned
17,True,0.6686478454680534,0.7518573551263001,0.2481426448736998,0.0,0.0,11.401754379272461,0.3135375295107734,2465.0,333.48360837638256,aligned
18,True,0.8013245033112583,0.9238410596026491,-0.0008278145695364003,0.0,0.0,5.0,0.1973644568463732,2070.0,271.5176850699228,weak_ink_support
19,True,0.48297213622291024,0.5278637770897833,-0.016253869969040213,4.123105525970459,0.9041741159588362,18.788293838500977,0.0,,243.8602867349098,weak_ink_support
20,True,0.4354243542435424,0.5627306273062731,-0.13191881918819193,5.0,1.0964721982782868,14.764822959899902,0.10540548214864742,2062.0,220.67396593414867,weak_ink_support
21,True,0.9474747474747475,0.997979797979798,0.4065656565656566,1.4142135381698608,0.31012916540640423,2.8284270763397217,0.09798848148465399,2027.0,175.77436773433217,aligned
22,True,0.7027914614121511,0.8160919540229885,0.14367816091954033,0.0,0.0,11.805070686340354,0.28272523549987466,2237.0,275.62135084992667,aligned
23,True,0.5051020408163265,0.6683673469387755,-0.03188775510204089,2.8284270763397217,0.6202583308128085,17.492855072021484,0.05983687744901574,3098.0,258.58779635672045,weak_ink_support
24,True,0.45937961595273263,0.5790251107828656,-0.07976366322008871,4.242640495300293,0.9303874700772783,12.727922439575195,0.15325923498658703,2271.0,339.9532575553563,weak_ink_support
25,True,0.42948717948717946,0.6474358974358975,-0.05048076923076922,4.123105525970459,0.9041741159588362,12.723363399505628,0.8937358155538839,2007.0,275.9821420741122,modern_proxy_suspect
26,True,0.0,0.0,-0.01449671772428884,51.195701599121094,11.226932694957501,91.94667816162111,0.0,,490.04163681012636,weak_ink_support
27,True,0.4686907020872865,0.7552182163187856,-0.04981024667931694,3.605551242828369,0.7906773394458062,14.866068840026855,0.22369409564092801,2048.0,181.7645613180908,weak_ink_support
28,True,0.5749525616698292,0.6698292220113852,0.01755218216318788,2.0,0.4385888793113147,12.083045959472656,0.21065332077651325,2089.0,187.59769743822162,weak_ink_support
